# Channel A, measure V
</>
<0.0050, 0.00545>
<0.0067, 0.00708>
<0.0089, 0.00924>
<0.0119, 0.01217>
<0.0158, 0.01598>
<0.0211, 0.02113>
<0.0281, 0.02799>
<0.0375, 0.03717>
<0.0500, 0.04942>
<0.0667, 0.06572>
<0.0889, 0.08740>
<0.1186, 0.11641>
<0.1581, 0.15501>
<0.2108, 0.20646>
<0.2812, 0.27524>
<0.3748, 0.36676>
<0.5000, 0.48905>
<0.6668, 0.65196>
<0.8891, 0.86920>
<1.1850, 1.15835>
<1.5811, 1.54529>
<2.1081, 2.06045>
<2.8112, 2.74739>
<3.7490, 3.66360>
<5.0001, 4.88560>
<\>

# Channel A, measure I
</>
<0.0002, 0.00046>
<0.0003, 0.00056>
<0.0004, 0.00066>
<0.0005, 0.00075>
<0.0006, 0.00085>
<0.0008, 0.00105>
<0.0011, 0.00134>
<0.0015, 0.00173>
<0.0020, 0.00222>
<0.0027, 0.00291>
<0.0036, 0.00379>
<0.0047, 0.00487>
<0.0063, 0.00644>
<0.0084, 0.00850>
<0.0112, 0.01124>
<0.0150, 0.01497>
<0.0200, 0.01987>
<0.0267, 0.02643>
<0.0356, 0.03516>
<0.0474, 0.04672>
<0.0632, 0.06221>
<0.0843, 0.08287>
<0.1125, 0.11045>
<0.1500, 0.14721>
<0.2000, 0.19617>
<-0.0002, 0.00007>
<-0.0003, -0.00003>
<-0.0004, -0.00013>
<-0.0005, -0.00023>
<-0.0006, -0.00033>
<-0.0008, -0.00052>
<-0.0011, -0.00081>
<-0.0015, -0.00121>
<-0.0020, -0.00170>
<-0.0027, -0.00238>
<-0.0036, -0.00327>
<-0.0047, -0.00435>
<-0.0063, -0.00591>
<-0.0084, -0.00798>
<-0.0112, -0.01071>
<-0.0150, -0.01445>
<-0.0200, -0.01935>
<-0.0267, -0.02592>
<-0.0356, -0.03465>
<-0.0474, -0.04621>
<-0.0632, -0.06171>
<-0.0843, -0.08240>
<-0.1124, -0.11016>
<-0.1499, -0.14696>
<-0.1999, -0.19607>
<\>

# Channel A, source V
</>
<0.00483, 0.0044>
<0.00646, 0.0061>
<0.00856, 0.0083>
<0.01146, 0.0112>
<0.01530, 0.0152>
<0.02040, 0.0205>
<0.02727, 0.0275>
<0.03658, 0.0369>
<0.04860, 0.0493>
<0.06487, 0.0660>
<0.08637, 0.0880>
<0.11531, 0.1175>
<0.15369, 0.1567>
<0.20472, 0.2091>
<0.27308, 0.2790>
<0.36408, 0.3722>
<0.48555, 0.4965>
<0.64764, 0.6623>
<0.86350, 0.8833>
<1.15170, 1.1782>
